"B" "Temp" "a" "erg" "s" "s-erg*temp"
"0.1" "0.98" "0.0083333333333333" "2.75754416427197" "1.85729489399936" "-0.845098386987171"
"0.1" "0.98" "0.01" "2.59378215901901" "1.8573005074843" "-0.684606008354322"
"0.1" "0.98" "0.02" "2.18552417095849" "1.8573444646581" "-0.284469222881229"
"0.1" "0.99" "0.0066666666666667" "3.01017035907737" "1.8389286927968" "-1.1411399626898"
"0.1" "0.99" "0.0083333333333333" "2.76423430521216" "1.83892913521124" "-0.897662826948801"
"0.1" "0.99" "0.01" "2.60048823687584" "1.83893345179601" "-0.735549902711071"
"0.1" "0.99" "0.02" "2.19222096557569" "1.83896921570845" "-0.33132954021149"
"0.1" "1" "0.006" "3.15339125837246" "1.82086810438836" "-1.3325231539841"
"0.1" "1" "0.0066666666666667" "3.01663849442627" "1.82086517063786" "-1.19577332378841"
"0.1" "1" "0.007" "2.958059917908" "1.8208645074862" "-1.1371954104218"
"0.1" "1" "0.008" "2.81169603525435" "1.82086434679538" "-0.990831688458975"
"0.1" "1" "0.0083333333333333" "2.77073640699286" "1.82086468462547" "-0.949871722367392"
"0.1" "1" "0.009" "2.69794024671295" "1.82086569880844" "-0.877074547904513"
"0.1" "1" "0.01" "2.60700502035371" "1.8208678187029" "-0.786137201650814"
"0.1" "1" "0.011" "2.53264349098595" "1.82087030496892" "-0.71177318601703"
"0.1" "1" "0.012" "2.47071123604001" "1.82087299945623" "-0.649838236583774"
"0.1" "1" "0.013" "2.4183343115502" "1.82087580550047" "-0.597458506049728"
"0.1" "1" "0.014" "2.37346233276402" "1.82087867187798" "-0.55258366088604"
"0.1" "1" "0.015" "2.33459232549799" "1.82088156875101" "-0.51371075674698"
"0.1" "1" "0.016" "2.30059748554178" "1.8208844781001" "-0.479713007441677"
"0.1" "1" "0.017" "2.27061642870029" "1.82088738870048" "-0.449729039999811"
"0.1" "1" "0.018" "2.24397939037301" "1.82089029338085" "-0.42308909699216"
"0.1" "1" "0.019" "2.22015775119382" "1.82089318746064" "-0.399264563733182"
"0.1" "1" "0.02" "2.19872871817305" "1.82089606783685" "-0.3778326503362"
"0.1" "1.01" "0.0066666666666667" "3.02293951206696" "1.80309665066309" "-1.25007225652454"
"0.1" "1.01" "0.0083333333333333" "2.77706785268885" "1.80309532280376" "-1.00174320841198"
"0.1" "1.01" "0.01" "2.61334959586431" "1.80309737820425" "-0.836385713618702"
"0.1" "1.02" "0.0066666666666667" "3.02909744873447" "1.78561701958091" "-1.30406237812824"
"0.1" "1.02" "0.0083333333333333" "2.78325122284122" "1.78561492830717" "-1.05330131899088"
"0.1" "1.02" "0.01" "2.61954387551801" "1.78561599941989" "-0.886318753608481"
"0.1" "1.03" "0.0066666666666667" "3.03515261922067" "1.76842026446124" "-1.35778693333605"
